Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Adjusted Close Price (t = 0),Adjusted Close Price (t = 30),Event Type
245,5/1/2024,Starbucks Corp,SBUX,Stifel,Chris O'Cull,Hold,Hold,80.0,80.0,,,No Change
771,5/1/2024,Starbucks Corp,SBUX,,Zachary Fadem,Overweight,Overweight,90.0,90.0,,,No Change
729,5/1/2024,Starbucks Corp,SBUX,Btig,Peter Saleh,Buy,Buy,115.0,100.0,,,No Change
744,6/10/2024,Starbucks Corp,SBUX,Baml,Sara Senatore,Buy,Buy,112.0,112.0,,,No Change
684,6/28/2024,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,81.0,81.0,,,No Change
207,7/12/2024,Starbucks Corp,SBUX,Morgan Stanley,Brian Harbour,Overweight,Overweight,98.0,98.0,,,No Change
222,7/16/2024,Starbucks Corp,SBUX,,Brian Mullan,Hold,Hold,85.0,85.0,,,No Change
301,7/16/2024,Starbucks Corp,SBUX,Evercore,David Palmer,Outperform,In Line,80.0,80.0,,,No Change
685,7/19/2024,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,77.0,77.0,,,No Change
562,7/22/2024,Starbucks Corp,SBUX,Citi,Jon Tower,Neutral,Neutral,80.0,80.0,,,No Change
208,7/31/2024,Starbucks Corp,SBUX,Morgan Stanley,Brian Harbour,Overweight,Overweight,98.0,98.0,,,No Change
686,7/31/2024,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,80.0,80.0,,,No Change
445,7/31/2024,Starbucks Corp,SBUX,,Jeffrey Bernstein,Overweight,Overweight,93.0,93.0,,,No Change
687,8/13/2024,Starbucks Corp,SBUX,Wedbush,Nick Setyan,Neutral,Neutral,80.0,80.0,,,No Change
563,8/14/2024,Starbucks Corp,SBUX,Citi,Jon Tower,Neutral,Neutral,98.0,98.0,,,No Change
446,8/14/2024,Starbucks Corp,SBUX,,Jeffrey Bernstein,Overweight,Overweight,110.0,110.0,,,No Change
302,8/14/2024,Starbucks Corp,SBUX,Evercore,David Palmer,In Line,Outperform,120.0,120.0,,,No Change
527,9/30/2024,Starbucks Corp,SBUX,Jpmorgan,John Ivankoe,Overweight,Overweight,105.0,105.0,,,No Change
731,10/17/2024,Starbucks Corp,SBUX,Btig,Peter Saleh,Buy,Buy,100.0,115.0,,,No Change
745,10/22/2024,Starbucks Corp,SBUX,,Sara Senatore,Buy,Buy,117.0,117.0,,,No Change
564,10/23/2024,Starbucks Corp,SBUX,Citi,Jon Tower,Neutral,Neutral,96.0,96.0,,,No Change
362,10/23/2024,Starbucks Corp,SBUX,Ubs,Dennis Geiger,Neutral,Neutral,95.0,95.0,,,No Change
