Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
319,4/1/2025,Amazon.com Inc,AMZN,,Curtis Shauger,Buy                          ,Buy                          ,280,280
442,4/8/2025,Amazon.com Inc,AMZN,,Doug Anmuth,Overweight,Overweight,220,220
313,4/9/2025,Amazon.com Inc,AMZN,Baird,Colin Sebastian,Outperform,In Line,260,215
1554,4/10/2025,Amazon.com Inc,AMZN,Truist,Youssef Squali,Buy,Buy,265,230
370,4/16/2025,Amazon.com Inc,AMZN,,Deepak Mathivanan,Overweight,Overweight,230,230
515,4/22/2025,Amazon.com Inc,AMZN,,Eric Sheridan,Buy,Buy,220,220
905,4/23/2025,Amazon.com Inc,AMZN,,Mark Kelley,Buy,Buy,248,248
720,4/23/2025,Amazon.com Inc,AMZN,Telsey Advisory,Joseph Feldman,Outperform,Outperform,275,235
732,5/2/2025,Amazon.com Inc,AMZN,,Joseph Feldman,Outperform,Outperform,235,235
817,5/2/2025,Amazon.com Inc,AMZN,,Laura Martin,Buy,Buy,220,220
1120,5/2/2025,Amazon.com Inc,AMZN,Jmp,Nicholas Jones,Outperform,Outperform,240,250
1483,5/2/2025,Amazon.com Inc,AMZN,,Thomas Champion,Overweight,Overweight,212,212
443,5/2/2025,Amazon.com Inc,AMZN,,Doug Anmuth,Overweight,Overweight,225,225
906,5/2/2025,Amazon.com Inc,AMZN,,Mark Kelley,Buy,Buy,245,245
371,5/2/2025,Amazon.com Inc,AMZN,,Deepak Mathivanan,Overweight,Overweight,240,240
799,6/2/2025,Amazon.com Inc,AMZN,,Justin Post,Buy,Buy,248,248
444,6/4/2025,Amazon.com Inc,AMZN,,Doug Anmuth,Overweight,Overweight,240,240
1562,7/2/2025,Amazon.com Inc,AMZN,,Youssef Squali,Buy,Buy,250,250
733,7/10/2025,Amazon.com Inc,AMZN,,Joseph Feldman,Outperform,Outperform,235,235
212,7/10/2025,Amazon.com Inc,AMZN,,Brian Nowak,Overweight,Overweight,300,300
1356,7/30/2025,Amazon.com Inc,AMZN,,Scott Devitt,Outperform,Outperform,250,250
734,8/13/2025,Amazon.com Inc,AMZN,,Joseph Feldman,Outperform,Outperform,265,265
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After
218,5/31/2013,Costco Wholesale,COST,Ubs,Jason Derise,Buy,Buy,125,125
141,9/25/2014,Costco Wholesale,COST,Jefferies,Daniel Binder,Hold,Hold,115,115
220,10/2/2014,Costco Wholesale,COST,,Jason Derise,Neutral,Neutral,125,125
626,10/6/2014,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Buy,130,130
140,10/7/2014,Costco Wholesale,COST,Jefferies,Daniel Binder,Hold,Hold,116,116
221,10/9/2014,Costco Wholesale,COST,,Jason Derise,Neutral,Neutral,129,129
138,12/5/2014,Costco Wholesale,COST,Jefferies,Daniel Binder,Hold,Hold,118,130
216,12/11/2014,Costco Wholesale,COST,,Jason Derise,Neutral,Neutral,145,145
139,1/7/2015,Costco Wholesale,COST,Jefferies,Daniel Binder,Hold,Hold,133,133
628,2/5/2015,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Hold,147,142
616,7/9/2015,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,143,143
72,9/22/2015,Costco Wholesale,COST,,Charles Grom,Buy,Buy,152,152
627,9/30/2015,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,144,144
71,10/2/2015,Costco Wholesale,COST,,Charles Grom,Buy,Buy,154,154
222,10/26/2015,Costco Wholesale,COST,,Jason Derise,Buy,Buy,180,180
888,11/17/2015,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,163,179
633,12/3/2015,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Buy,152,200
840,12/9/2015,Costco Wholesale,COST,Piper Sandler,Sean Naughton,Overweight,Overweight,171,174
354,2/5/2016,Costco Wholesale,COST,Bmo,Kelly Bania,Outperform,Outperform,170,170
37,2/12/2016,Costco Wholesale,COST,Oppenheimer,Brian Nagel,Outperform,Outperform,160,160
621,5/16/2016,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Buy,196,196
328,5/27/2016,Costco Wholesale,COST,Citi,Kate Mcshane,Neutral,Neutral,155,155
622,5/31/2016,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Buy,195,195
326,8/16/2016,Costco Wholesale,COST,Citi,Kate Mcshane,Neutral,Neutral,172,172
330,9/30/2016,Costco Wholesale,COST,Citi,Kate Mcshane,Neutral,Neutral,167,167
614,12/5/2016,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Buy,194,194
48,1/11/2017,Costco Wholesale,COST,Oppenheimer,Brian Nagel,Outperform,Outperform,175,185
310,3/3/2017,Costco Wholesale,COST,Barclays,Karen Short,Equal Weight,Equal Weight,170,170
558,3/3/2017,Costco Wholesale,COST,Td Cowen,Oliver Chen,Outperform,Outperform,170,190
70,5/9/2017,Costco Wholesale,COST,,Charles Grom,Accumulate,Accumulate,191,191
462,5/26/2017,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,191,191
329,10/6/2017,Costco Wholesale,COST,Citi,Kate Mcshane,Buy,Buy,190,190
463,11/30/2017,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,185,185
327,6/1/2018,Costco Wholesale,COST,Citi,Kate Mcshane,Buy,Buy,222,222
104,6/1/2018,Costco Wholesale,COST,,Christopher Horvers,Overweight,Overweight,212,212
910,7/12/2018,Costco Wholesale,COST,,Zachary Fadem,Outperform,Outperform,235,235
160,7/12/2018,Costco Wholesale,COST,Wells Fargo,Edward Kelly,Outperform,Outperform,235,235
64,7/25/2018,Costco Wholesale,COST,Gordon Haskett,Charles Grom,Accumulate,Buy,222,235
771,8/21/2018,Costco Wholesale,COST,Oppenheimer,Rupesh Parikh,Outperform,Outperform,210,250
464,9/7/2018,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,245,245
916,9/14/2018,Costco Wholesale,COST,,Zachary Fadem,Market Perform,Market Perform,235,235
105,9/17/2018,Costco Wholesale,COST,,Christopher Horvers,Overweight,Overweight,255,255
514,10/5/2018,Costco Wholesale,COST,Deutsche Bank,Michael Baker,Hold,Hold,223,223
625,10/5/2018,Costco Wholesale,COST,,Paul Trussell,Hold,Hold,223,223
908,12/14/2018,Costco Wholesale,COST,,Zachary Fadem,Market Perform,Market Perform,220,220
236,4/9/2019,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,265,265
32,4/17/2019,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,270,270
913,5/9/2019,Costco Wholesale,COST,,Zachary Fadem,Market Perform,Market Perform,240,240
53,5/16/2019,Costco Wholesale,COST,Raymond James,Budd Bugatch,Outperform,Outperform,250,260
461,7/11/2019,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,289,289
810,9/6/2019,Costco Wholesale,COST,Rbc,Scot Ciccarelli,Outperform,Outperform,299,321
161,9/6/2019,Costco Wholesale,COST,,Edward Kelly,Market Perform,Market Perform,290,290
915,9/6/2019,Costco Wholesale,COST,,Zachary Fadem,Market Perform,Market Perform,290,290
223,9/9/2019,Costco Wholesale,COST,,Jason Derise,Buy,Buy,335,335
28,9/18/2019,Costco Wholesale,COST,Bernstein,Brandon Fletcher,Underperform,Market Perform,230,220
624,10/1/2019,Costco Wholesale,COST,,Paul Trussell,Hold,Hold,274,274
243,10/4/2019,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,329,329
623,11/7/2019,Costco Wholesale,COST,,Paul Trussell,Hold,Hold,286,286
615,12/13/2019,Costco Wholesale,COST,,Paul Trussell,Hold,Hold,288,288
217,3/6/2020,Costco Wholesale,COST,,Jason Derise,Buy,Buy,355,355
513,3/6/2020,Costco Wholesale,COST,Nomura,Michael Baker,Neutral,Neutral,310,310
613,4/9/2020,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,295,295
620,5/7/2020,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,290,290
619,6/4/2020,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,297,297
617,7/9/2020,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,298,298
39,7/9/2020,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,355,355
618,7/30/2020,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Hold,Hold,299,299
587,8/6/2020,Costco Wholesale,COST,Citi,Paul Lejuez,Neutral,Neutral,345,345
46,9/3/2020,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,400,400
244,9/3/2020,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,400,400
246,9/25/2020,Costco Wholesale,COST,,Joseph Feldman,Outperform,Outperform,365,365
311,10/6/2020,Costco Wholesale,COST,Barclays,Karen Short,Short,Overweight,330,400
240,3/5/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,395,395
41,3/5/2021,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,395,395
835,3/11/2021,Costco Wholesale,COST,R5 Capital,Scott Mushkin,Buy,Hold,379,400
1,3/11/2021,Costco Wholesale,COST,,Zachary Fadem,Equal Weight,Overweight,340,370
162,3/11/2021,Costco Wholesale,COST,Wells Fargo,Edward Kelly,Overweight,Equal Weight,340,370
325,4/8/2021,Costco Wholesale,COST,Goldman Sachs,Kate Mcshane,Buy,Buy,350,350
34,4/8/2021,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,400,400
907,4/8/2021,Costco Wholesale,COST,,Zachary Fadem,Overweight,Overweight,400,400
466,4/8/2021,Costco Wholesale,COST,Stifel,Mark Astrachan,Buy,Buy,370,385
43,5/18/2021,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,425,425
308,5/28/2021,Costco Wholesale,COST,Barclays,Karen Short,Short,Overweight,400,450
241,5/28/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,415,415
871,6/1/2021,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,415,415
590,6/2/2021,Costco Wholesale,COST,,Paul Lejuez,Neutral,Neutral,400,400
911,6/2/2021,Costco Wholesale,COST,,Zachary Fadem,Overweight,Overweight,415,415
239,7/9/2021,Costco Wholesale,COST,Telsey Advisory,Joseph Feldman,Outperform,Outperform,440,440
40,7/9/2021,Costco Wholesale,COST,,Brian Nagel,Outperform,Outperform,440,440
869,7/9/2021,Costco Wholesale,COST,Morgan Stanley,Simeon Gutman,Overweight,Overweight,425,425
