,Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Score Before,Score After ,Event Type
16,457,8/1/2016,Ross Stores Inc,ROST,NaN,Stephen Grambling,Neutral,Neutral,64,64,0,0,No change
17,316,8/19/2016,Ross Stores Inc,ROST,Deutsche Bank,Michael Baker,Buy,Buy,70,70,1,1,No change
18,420,8/19/2016,Ross Stores Inc,ROST,NaN,Robert Drbul,Buy,Buy,70,70,1,1,No change
19,458,8/19/2016,Ross Stores Inc,ROST,NaN,Stephen Grambling,Neutral,Neutral,67,67,0,0,No change
20,376,8/19/2016,Ross Stores Inc,ROST,Citi,Paul Lejuez,Buy,Buy,70,70,1,1,No change
21,434,8/19/2016,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Buy,Buy,65,72,1,1,No change
22,413,8/19/2016,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,51,57,0,0,No change
23,411,11/18/2016,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,57,59,0,0,No change
24,208,3/1/2017,Ross Stores Inc,ROST,Bmo,John Morris,Market Perform,Market Perfo,65,72,0,NaN,None
25,347,3/1/2017,Ross Stores Inc,ROST,Wedbush,Morry Brown,Outperform,Positive,71,73,1,1,No change
26,412,3/1/2017,Ross Stores Inc,ROST,Jefferies,Randal Konik,Hold,Hold,59,63,0,0,No change
27,221,11/17/2017,Ross Stores Inc,ROST,Morgan Stanley,Kimberly Greenberger,Overweight,Overweight,77,77,1,1,No change
28,207,11/17/2017,Ross Stores Inc,ROST,Bmo,John Morris,Market Perform,Market Perform,71,71,0,0,No change
29,48,11/17/2017,Ross Stores Inc,ROST,Rbc,Brian Tunick,Sector Perform,Sector Perform,70,70,0,0,No change
30,74,11/17/2017,Ross Stores Inc,ROST,Telsey Advisory,Dana Telsey,Outperform,Outperform,75,75,1,1,No change
31,447,11/17/2017,Ross Stores Inc,ROST,Nomura,Simeon Siegel,Buy,Buy,80,80,1,1,No change
32,439,11/17/2017,Ross Stores Inc,ROST,Roth Mkm,Roxanne Meyer,Buy,Buy,78,80,1,1,No change
