Row,Date,Company Name,Ticker,Broker,Analyst,Rating Before,Rating After,Price Target Before,Price Target After,Event Type
628,2015-02-05,Costco Wholesale,COST,Deutsche Bank,Paul Trussell,Buy,Hold,147,142,Downgrade
835,2021-03-11,Costco Wholesale,COST,R5 Capital,Scott Mushkin,Buy,Hold,379,400,Downgrade
385,2022-07-14,Costco Wholesale,COST,Deutsche Bank,Krisztina Katai,Buy,Hold,525,579,Downgrade
